n,2𝛝 (deg),∆_2𝛝,𝛝 (deg),∆_𝛝,sin(𝛝) (rad),∆_sin𝛝
1,23.1409,0.0018,11.57045,0.0009,0.2005727,0.0008817
2,46.7793,0.0012,23.38965,0.0006,0.3969821,0.0005507
