Moment (emu)
-0.00117539132678691
-0.00117531091048172
-0.00109095011514726
-0.00109097588338253
-0.001007798835229
-0.00100706848869734
-9.23010867672888E-4
-9.23090601329523E-4
-8.3909433614564E-4
-8.39083856660834E-4
-7.55062124119588E-4
-7.55038854422749E-4
-6.71113914890225E-4
-6.71157238660827E-4
-5.87106005595652E-4
-5.87169246144715E-4
-5.03191654103671E-4
-5.03189011502273E-4
-4.19216602578252E-4
-4.19239274510615E-4
-3.35248929637483E-4
-3.35285241583971E-4
-2.51350369035525E-4
-2.5135857947647E-4
-2.42907950783317E-4
-2.42941343290218E-4
-2.34510195534976E-4
-2.34514984654711E-4
-2.26117548104453E-4
-2.26136202954452E-4
-2.17738895313534E-4
-2.17731274182677E-4
-2.09327905445601E-4
-2.09336231310821E-4
-2.00924685389267E-4
-2.00948225752404E-4
-1.92524418488895E-4
-1.92546281802385E-4
-1.84117318943887E-4
-1.84146480841295E-4
-1.75739385684726E-4
-1.75749375099968E-4
-1.67318571949961E-4
-1.67343718059502E-4
-1.58933696349457E-4
-1.58957847846498E-4
-1.50541447578759E-4
-1.50547543085247E-4
-1.42156736922055E-4
-1.42167891388256E-4
-1.33746100005122E-4
-1.33756750233128E-4
-1.25355638392339E-4
-1.2537194909776E-4
-1.16946787439118E-4
-1.16970876273147E-4
-1.08542273566627E-4
-1.0855836935202E-4
-1.00187568824799E-4
-1.00163000732202E-4
-9.17437643091668E-5
-9.17549035934647E-5
-8.33379012387199E-5
-8.3360521256962E-5
-7.49352224057507E-5
-7.4955541547885E-5
-6.65295601055758E-5
-6.65515896749033E-5
-5.81245799340106E-5
-5.81417516628703E-5
-4.97532884891999E-5
-4.97564095674511E-5
-4.48350218916342E-5
-4.48509158205302E-5
-3.9969508925617E-5
-3.99838986065827E-5
-3.50871936868301E-5
-3.51121533845367E-5
-3.02182641359254E-5
-3.02263721286691E-5
-2.53415577046442E-5
-2.53455884130685E-5
-2.04739260039026E-5
-2.04761228025822E-5
-1.55989172998633E-5
-1.5597473069312E-5
-1.07339460618021E-5
-1.07374502579438E-5
-5.86832742109273E-6
-5.87482516168864E-6
-1.01565498840713E-6
-1.00155483141353E-6
3.70703889331316E-6
3.84309276990997E-6
8.6275273902538E-6
8.63405076433459E-6
1.34311676587936E-5
1.34730302574447E-5
1.82226240230246E-5
1.83128934652107E-5
2.31717514129789E-5
2.31800978532382E-5
2.80427680828392E-5
2.80564644768521E-5
3.29123093220342E-5
3.29326926284613E-5
3.77115371614433E-5
3.77110959065833E-5
4.25882251876716E-5
4.26009921034549E-5
4.74481872142738E-5
4.74507419140222E-5
5.08180847486783E-5
5.08147996260386E-5
5.90949146076449E-5
5.90908805577466E-5
6.74932494963925E-5
6.74979944752269E-5
7.58625583577509E-5
7.58548469356154E-5
8.42370689655273E-5
8.42510356252743E-5
9.26162635271128E-5
9.26146133188514E-5
1.00996860351153E-4
1.00988762916867E-4
1.09381950629463E-4
1.09377813291636E-4
1.1775697760753E-4
1.17767448133072E-4
1.26167124183525E-4
1.26160789779317E-4
1.34546820488673E-4
1.34544313565939E-4
1.4294123982503E-4
1.42926919627046E-4
1.51323232586905E-4
1.51314765373538E-4
1.59704192876428E-4
1.59705560326392E-4
1.68101161129122E-4
1.68106269962086E-4
1.76493428593285E-4
1.76481403187544E-4
1.84876827353286E-4
1.84877906516974E-4
1.93273485661843E-4
1.93261274275709E-4
2.01659462556322E-4
2.0164800721681E-4
2.10039846965547E-4
2.10050381089958E-4
2.18442505109492E-4
2.18425776698972E-4
2.26831402350773E-4
2.26819605265038E-4
2.35371009698579E-4
2.35227626781781E-4
2.43608027546891E-4
2.43612950653664E-4
2.52159808544048E-4
2.5198837279549E-4
3.35957235218208E-4
3.36144922729048E-4
4.19900623253852E-4
4.19905381558114E-4
5.0386552862325E-4
5.0389413442886E-4
5.87878222988305E-4
5.87875089775682E-4
6.71919281998673E-4
6.71883370016857E-4
7.55874141624089E-4
7.55872663026895E-4
8.39927665890126E-4
8.39882751831537E-4
9.24697211298849E-4
9.23955183701548E-4
0.00100804893436906
0.00100799818918107
0.00109204957692345
0.00109211329708139
0.00117707229277568
0.0011761694941224
0.00109180887818826
