n,2𝛝 (deg),∆_2𝛝,𝛝,∆_𝛝,sin(𝛝) (rad),∆_sin𝛝
1,23.0693,0.0021,11.53465,0.00105,0.19996051,0.001
2,46.5377,0.002,23.26885,0.001,0.39504611,0.001
