[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662291436.392000 9/4/2022, 1:37:16 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: M(H)-5t.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662292529.555,,7.914465e+001,1.999618e+000,2.084435e-005,0.000000e+000,2.060441e-001,0.000000e+000,3,8.085660e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.679296e-004,0,,0,
1662292537.905,,7.914465e+001,1.999938e+000,2.052819e-005,0.000000e+000,2.391703e-001,0.000000e+000,3,8.364043e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.896786e-005,0,,0,
1662292553.685,,8.991670e+001,1.999574e+000,2.121365e-005,0.000000e+000,2.643986e-001,0.000000e+000,3,7.374534e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.220175e-004,0,,0,
1662292562.455,,8.991670e+001,1.999778e+000,2.158055e-005,0.000000e+000,2.310762e-001,0.000000e+000,3,8.040836e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,0.000000e+000,0,,0,
1662292577.445,,1.000903e+002,1.999778e+000,2.455230e-005,0.000000e+000,2.190097e-001,0.000000e+000,3,7.522327e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.390810e-004,0,,0,
1662292585.836,,1.000903e+002,1.999952e+000,2.366406e-005,0.000000e+000,2.468297e-001,0.000000e+000,3,7.963946e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,0.000000e+000,0,,0,
1662292601.126,,1.110119e+002,1.999676e+000,2.691499e-005,0.000000e+000,2.465467e-001,0.000000e+000,3,8.174565e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.940033e-004,0,,0,
1662292609.726,,1.110119e+002,1.999923e+000,2.718436e-005,0.000000e+000,2.618369e-001,0.000000e+000,3,7.971060e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,0.000000e+000,0,,0,
1662292624.496,,1.199886e+002,1.999691e+000,3.019481e-005,0.000000e+000,2.499935e-001,0.000000e+000,3,7.984962e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.810261e-004,0,,0,
1662292633.646,,1.199886e+002,2.000068e+000,2.794048e-005,0.000000e+000,2.413704e-001,0.000000e+000,3,7.974297e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.739264e-004,0,,0,
