[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662036831.132000 9/1/2022, 2:53:51 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: MT-350K^-0.5T.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662037137.664,,5.000000e+003,2.161075e+001,2.592099e-004,0.000000e+000,1.438872e-002,0.000000e+000,3,6.333894e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.333191e-001,0,,0,
1662037147.884,,5.000000e+003,2.248034e+001,2.489725e-004,0.000000e+000,1.582090e-002,0.000000e+000,3,6.282809e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.056099e-001,0,,0,
1662037156.604,,5.000000e+003,2.321251e+001,2.403397e-004,0.000000e+000,1.709501e-002,0.000000e+000,3,6.230021e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.164013e-001,0,,0,
1662037165.574,,5.000000e+003,2.389479e+001,2.323133e-004,0.000000e+000,1.845101e-002,0.000000e+000,3,6.181988e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.138302e-001,0,,0,
1662037174.814,,5.000000e+003,2.470440e+001,2.240563e-004,0.000000e+000,1.946932e-002,0.000000e+000,3,6.124398e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.934486e-001,0,,0,
1662037183.784,,5.000000e+003,2.541909e+001,2.166096e-004,0.000000e+000,2.087063e-002,0.000000e+000,3,6.074719e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.724796e-001,0,,0,
1662037213.184,,5.000000e+003,2.786555e+001,1.938088e-004,0.000000e+000,2.476908e-002,0.000000e+000,3,5.869113e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.739288e-001,0,,0,
1662037221.964,,5.000000e+003,2.851894e+001,1.873845e-004,0.000000e+000,2.708955e-002,0.000000e+000,3,5.806239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.721912e-001,0,,0,
1662037230.314,,5.000000e+003,2.925264e+001,1.811436e-004,0.000000e+000,3.037251e-002,0.000000e+000,3,5.739427e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.689602e-001,0,,0,
1662037239.544,,5.000000e+003,3.006186e+001,1.738552e-004,0.000000e+000,3.260855e-002,0.000000e+000,3,5.646157e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.672913e-001,0,,0,
1662037248.454,,5.000000e+003,3.074453e+001,1.673957e-004,0.000000e+000,3.344602e-002,0.000000e+000,3,5.540657e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.831905e-001,0,,0,
1662037256.604,,5.000000e+003,3.138770e+001,1.624179e-004,0.000000e+000,3.400310e-002,0.000000e+000,3,5.452262e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.397305e-001,0,,0,
1662037268.824,,5.000000e+003,3.242274e+001,1.571459e-004,0.000000e+000,3.594742e-002,0.000000e+000,3,5.361927e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.774094e-001,0,,0,
1662037280.054,,5.000000e+003,3.334112e+001,1.527013e-004,0.000000e+000,3.773086e-002,0.000000e+000,3,5.283310e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.653496e-001,0,,0,
1662037293.274,,5.000000e+003,3.445449e+001,1.479374e-004,0.000000e+000,4.033785e-002,0.000000e+000,3,5.199813e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.077423e-001,0,,0,
1662037303.994,,5.000000e+003,3.531870e+001,1.441166e-004,0.000000e+000,4.164449e-002,0.000000e+000,3,5.118951e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.050529e-001,0,,0,
1662037318.214,,5.000000e+003,3.652026e+001,1.394348e-004,0.000000e+000,4.428833e-002,0.000000e+000,3,5.018381e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.007690e-001,0,,0,
1662037329.434,,5.000000e+003,3.745527e+001,1.361357e-004,0.000000e+000,4.599345e-002,0.000000e+000,3,4.950616e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.978699e-001,0,,0,
1662037340.404,,5.000000e+003,3.830023e+001,1.640918e-004,0.000000e+000,-6.672841e-002,0.000000e+000,3,4.688994e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.898399e-001,0,,0,
1662037353.624,,5.000000e+003,3.939169e+001,1.296288e-004,0.000000e+000,5.097675e-002,0.000000e+000,3,4.827741e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.882301e-001,0,,0,
1662037364.844,,5.000000e+003,4.029020e+001,1.269132e-004,0.000000e+000,5.315786e-002,0.000000e+000,3,4.782015e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.782700e-001,0,,0,
1662037378.604,,5.000000e+003,4.143818e+001,1.232612e-004,0.000000e+000,5.679843e-002,0.000000e+000,3,4.722768e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.710907e-001,0,,0,
1662037389.324,,5.000000e+003,4.233646e+001,1.202770e-004,0.000000e+000,6.182748e-002,0.000000e+000,3,4.660181e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.713287e-001,0,,0,
1662037402.294,,5.000000e+003,4.342375e+001,1.160813e-004,0.000000e+000,7.048155e-002,0.000000e+000,3,4.562673e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.692024e-001,0,,0,
1662037415.934,,5.000000e+003,4.445265e+001,1.110980e-004,0.000000e+000,8.299729e-002,0.000000e+000,3,4.404673e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.617790e-001,0,,0,
1662037426.784,,5.000000e+003,4.543023e+001,1.076019e-004,0.000000e+000,9.561755e-002,0.000000e+000,3,4.260133e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.665298e-001,0,,0,
1662037456.754,,5.000000e+003,4.788993e+001,1.008042e-004,0.000000e+000,1.245276e-001,0.000000e+000,3,4.018195e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.571899e-001,0,,0,
1662037465.264,,5.000000e+003,4.862559e+001,9.862045e-005,0.000000e+000,1.321702e-001,0.000000e+000,3,3.945716e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.529518e-001,0,,0,
