[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662130718.051000 9/2/2022, 4:58:38 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: M(H)-5t.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662130979.282,,2.737896e+001,2.000227e+000,6.058429e-006,0.000000e+000,2.266981e-001,0.000000e+000,3,2.939076e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
1662130988.002,,2.737896e+001,2.000300e+000,6.970844e-006,0.000000e+000,2.908907e-001,0.000000e+000,3,4.990934e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.740456e-004,0,,0,
1662131003.022,,3.052081e+001,2.000184e+000,7.588788e-006,0.000000e+000,1.242572e-001,0.000000e+000,3,7.871748e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.161098e-004,0,,0,
1662131011.532,,3.052081e+001,2.000242e+000,7.872707e-006,0.000000e+000,2.289001e-001,0.000000e+000,3,7.953420e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,0.000000e+000,0,,0,
1662131040.352,,3.321381e+001,2.000242e+000,7.532366e-006,0.000000e+000,1.899735e-001,0.000000e+000,3,7.727340e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.817413e-005,0,,0,
1662131049.322,,3.321381e+001,2.000184e+000,8.081095e-006,0.000000e+000,1.882614e-001,0.000000e+000,3,7.744921e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,0.000000e+000,0,,0,
1662131083.542,,3.665489e+001,2.000257e+000,8.313318e-006,0.000000e+000,2.026767e-001,0.000000e+000,3,8.005748e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
1662131092.762,,3.665489e+001,2.000257e+000,8.949065e-006,0.000000e+000,2.052258e-001,0.000000e+000,3,7.054016e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
1662131108.002,,3.964712e+001,2.000053e+000,8.988773e-006,0.000000e+000,1.923547e-001,0.000000e+000,3,8.120115e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.884865e-005,0,,0,
1662131116.272,,3.964712e+001,2.000082e+000,9.416282e-006,0.000000e+000,2.172226e-001,0.000000e+000,3,8.178900e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
