Energy	20221103_0125_Cr_22151a_75K_60deg_6T_minus_0000	20221103_0129_Cr_22151a_75K_60deg_6T_plus_0000	20221103_0133_Cr_22151a_75K_60deg_6T_plus_0000	20221103_0136_Cr_22151a_75K_60deg_6T_minus_0000	20221103_0139_Cr_22151a_75K_60deg_6T_minus_0000	20221103_0142_Cr_22151a_75K_60deg_6T_plus_0000	c+ H+	c- H+	c+ H-	c- H-	XMCD H+	XMCD H-	XAS	XMCD	XAS normalized by jump	XMCD normalized by XAS jump
eV	cminus fieldplus	cplus fieldplus					arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units	arb. units
			cplus fieldplus	cminus fieldplus	cminus fieldplus	cplus fieldplus					c-H+ - c+H+	c-H- - c+H-		XMCD H+ - XMCD H-		
565.001	0.115110534419426	0.11083566943883	0.109372176045926	0.108625360459914	0.108111031415644	0.107644483563333	0.10850832980463	0.108368195937779	0	0	-1.40133866850412E-4	0	0.216876525742409	-1.40133866850412E-4	-0.00785141427535903	-4.33818021058509E-4
565.012	0.115080766296242	0.110796365855611	0.109358459930072	0.108635068199505	0.10815424783027	0.107676011080477	0.108517235505274	0.108394658014887	0	0	-1.22577490387091E-4	0	0.216911893520162	-1.22577490387091E-4	-0.00767459162839607	-3.79468043672913E-4
565.023	0.11511958596008	0.110802742512038	0.109365565317546	0.108663896146985	0.108120810971111	0.107654906286329	0.108510235801938	0.108392353559048	0	0	-1.17882242889764E-4	0	0.216902589360986	-1.17882242889764E-4	-0.00763606168476685	-3.64932778048332E-4
565.034	0.115064991883892	0.110787793377323	0.109377643637745	0.108645514416922	0.108115596759402	0.107704618745763	0.108541131191754	0.108380555588162	0	0	-1.60575603592394E-4	0	0.216921686779916	-1.60575603592394E-4	-0.00750960783890124	-4.97100323757487E-4
565.045	0.115100097925812	0.110836682068047	0.10941344336868	0.108639469773383	0.108135908596674	0.107664817344437	0.108539130356559	0.108387689185029	0	0	-1.51441171530209E-4	0	0.216926819541588	-1.51441171530209E-4	-0.00742638494150497	-4.68822496778369E-4
565.056	0.115089712734022	0.110770859709321	0.109359813243574	0.10862592565712	0.108089572497513	0.107696875219542	0.108528344231558	0.108357749077317	0	0	-1.70595154241199E-4	0	0.216886093308875	-1.70595154241199E-4	-0.00748512956872519	-5.2811824777581E-4
565.067	0.115054194746025	0.110800739443015	0.109411744542535	0.108632621439543	0.108090754329038	0.107693587834354	0.108552666188444	0.108361687884291	0	0	-1.9097830415378E-4	0	0.216914354072735	-1.9097830415378E-4	-0.00733030838915569	-5.91219180881824E-4
565.078	0.115066582146498	0.110803019123988	0.109383655953996	0.108627553669158	0.108085965716299	0.107685193621127	0.108534424787562	0.108356759692729	0	0	-1.77665094832968E-4	0	0.21689118448029	-1.77665094832968E-4	-0.0073347022223201	-5.50004945869974E-4
