Energy,20221102_1642_Cr_22157b_75K_60deg_minus_0000,20221102_1646_Cr_22157b_75K_60deg_plus_0000,20221102_1649_Cr_22157b_75K_60deg_plus_0000,20221102_1653_Cr_22157b_75K_60deg_minus_0000,20221102_1656_Cr_22157b_75K_60deg_minus_0000,20221102_1659_Cr_22157b_75K_60deg_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,,LCOT (2T),2T
565,0.109300629796109,0.104058746244636,0.101887680474543,0.101568789844215,0.100703030263205,0.100025480875626,0.100956580675084,0.10113591005371,0,0,1.7932937862522E-4,0,0.0121375137703204,1.7932937862522E-4,-0.00481975826577926,4.97945403266479E-4
565.011,0.109265653864552,0.104054080934532,0.102049462962694,0.101541765469457,0.100737432947246,0.100030941510634,0.101040202236664,0.101139599208351,0,0,9.93969716870103E-5,0,0.0122143202413559,9.93969716870103E-5,-0.00456222824040766,3.04879948394352E-4
565.022,0.109241644204307,0.104086498779555,0.102074929914088,0.101525224253282,0.100701672515576,0.100012097696055,0.101043513805071,0.101113448384429,0,0,6.99345793576667E-5,0,0.0121809767406549,6.99345793576667E-5,-0.00457050697496337,2.33606372223881E-4
565.033,0.109283780043286,0.10406298595096,0.102077696801954,0.101517264581368,0.100697850164635,0.100047272254088,0.101062484528021,0.101107557373002,0,0,4.50728449805371E-5,0,0.0121835522069911,4.50728449805371E-5,-0.004492107738245,1.73434888644553E-4
565.044,0.109219421265647,0.104049264047186,0.102059467726855,0.101535636472213,0.100705975675084,0.100000712165981,0.101030089946418,0.101120806073649,0,0,9.07161272310497E-5,0,0.0121539020808492,9.07161272310497E-5,-0.00449147379405966,2.83402813573808E-4
565.055,0.109234380063898,0.104071404219823,0.102076232084958,0.10149371971961,0.100697513025955,0.10002762553575,0.101051928810354,0.101095616372782,0,0,4.36875624283961E-5,0,0.0121400469987331,4.36875624283961E-5,-0.0044527239883872,1.69739371584954E-4
565.066,0.109228512588346,0.104045675001102,0.10204690996092,0.101514117951639,0.100733341425029,0.100005906807345,0.101026408384132,0.101123729688334,0,0,9.73213042020638E-5,0,0.0121321356428774,9.73213042020638E-5,-0.00439963106049887,2.98989499710631E-4
565.077,0.109218840184447,0.104034774495201,0.102072518184895,0.101552917494532,0.100696061638197,0.0999830088253015,0.101027763505098,0.101124489566364,0,0,9.67260612659699E-5,0,0.0121237463966872,9.67260612659699E-5,-0.0043476913552145,2.97376778299408E-4
565.088,0.10930233567274,0.104045659316348,0.102073047830399,0.101520867535829,0.100711413252321,0.100038736227128,0.101055892028764,0.101116140394075,0,0,6.02483653114189E-5,0,0.0121330215028774,6.02483653114189E-5,-0.00425312486095208,2.09174199536051E-4
565.099,0.10915931582578,0.104060497026262,0.102094000656353,0.101485471172974,0.100675346996982,0.0999710166496434,0.101032508652998,0.101080409084978,0,0,4.79004319796084E-5,0,0.0120634025728292,4.79004319796084E-5,-0.00434894176495633,1.79200435351484E-4
565.11,0.109348623383246,0.104029246799511,0.102065336295096,0.101482100236621,0.100704362768329,0.10002259272369,0.101043964509393,0.101093231502475,0,0,4.92669930819284E-5,0,0.0120771766015354,4.92669930819284E-5,-0.00424351868129921,1.82321847689471E-4
565.121,0.10912210738893,0.104030680952099,0.102061529109394,0.101516866109911,0.100712271907167,0.100016380754893,0.101038954932144,0.101114569008539,0,0,7.561407639535E-5,0,0.0120830002851638,7.561407639535E-5,-0.0041572809985354,2.45725087853678E-4
565.132,0.109040937353002,0.104037722640371,0.10207150876986,0.101520461397855,0.100682956947069,0.100003132698746,0.101037320734303,0.101101709172462,0,0,6.43884381591464E-5,0,0.0120580020060602,6.43884381591464E-5,-0.00414542143465037,2.18459593702537E-4
565.143,0.109324312550883,0.104023411687733,0.102062100049308,0.101495036981439,0.100696382734489,0.100019737160371,0.101040918604839,0.101095709857964,0,0,5.47912531248251E-5,0,0.0120450963169122,5.47912531248251E-5,-0.00410438059827064,1.95123806653165E-4
565.154,0.109153255698154,0.104043031397885,0.102070325286367,0.101466598065653,0.100698748773859,0.10001817184234,0.101044248564354,0.101082673419756,0,0,3.84248554027022E-5,0,0.0120248855930334,3.84248554027022E-5,-0.00408096793003793,1.55452872151041E-4
565.165,0.109214136694612,0.104056347627717,0.102077927363092,0.101491565509398,0.100690091995945,0.0999126812462307,0.100995304304662,0.101090828752671,0,0,9.55244480097678E-5,0,0.0119735924210703,9.55244480097678E-5,-0.00413256197175294,2.93066629405233E-4
565.176,0.109241975407529,0.104048669010937,0.102098748506341,0.101510099157457,0.1006986762131,0.0999554216909339,0.101027085098637,0.101104387685278,0,0,7.73025866412369E-5,0,0.0120084279024671,7.73025866412369E-5,-0.00397631437553551,2.489181768142E-4
565.187,0.109037772037274,0.104030821445587,0.102062897628032,0.101524318501751,0.100706495769658,0.100026021720904,0.101044459674468,0.101115407135704,0,0,7.09474612363981E-5,0,0.012026317683538,7.09474612363981E-5,-0.00386095935077127,2.33405976427079E-4
565.198,0.109180971939936,0.104010194357597,0.102083511698487,0.101521097544875,0.100712409648581,0.100012034283116,0.101047772990801,0.101116753596728,0,0,6.89806059265136E-5,0,0.0120204732157086,6.89806059265136E-5,-0.00380287870536938,2.28483344187634E-4
565.209,0.109319062542417,0.104016751187567,0.102100000576834,0.10148611954661,0.100680596160061,0.0999855270875672,0.101042763832201,0.101083357853335,0,0,4.05940211348488E-5,0,0.0119715640685299,4.05940211348488E-5,-0.00384871972997918,1.59805856450084E-4
565.22,0.10914432893613,0.10401366459233,0.102088252594415,0.101466000995289,0.100676125528655,0.100000114433919,0.101044183514167,0.101071063261972,0,0,2.68797478048116E-5,0,0.0119501849139469,2.68797478048116E-5,-0.00382812666407156,1.2653490448741E-4
565.231,0.109106231169079,0.103995712219363,0.102070148239648,0.101492091697987,0.100699038836551,0.100016560635215,0.101043354437431,0.101095565267269,0,0,5.22108298375568E-5,0,0.0119633535973224,5.22108298375568E-5,-0.00372416437145377,1.87486377880875E-4
