Energy,20221102_1710_Cr_22157b_75K_60deg_6T_minus_0000,20221102_1713_Cr_22157b_75K_60deg_6T_plus_0000,20221102_1717_Cr_22157b_75K_60deg_6T_plus_0000,20221102_1720_Cr_22157b_75K_60deg_6T_minus_0000,20221102_1723_Cr_22157b_75K_60deg_6T_minus_0000,20221102_1727_Cr_22157b_75K_60deg_6T_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,6T,LCOT (6T),6T
564.999,0.102761326946187,0.102579458432303,0.103073839650412,0.102742688003504,0.101607805470687,0.100130093436007,0.101927797172907,0.102370606806793,0,0,4.42809633885377E-4,0,0.00666334876356559,4.42809633885377E-4,-0.00433070909014501,3.77461037576507E-4
565.011,0.102741213715482,0.102549993805385,0.103046506864568,0.102762692440555,0.101589753548958,0.10021977497458,0.101938758548178,0.102364553234999,0,0,4.25794686820844E-4,0,0.00665769043669939,4.25794686820844E-4,-0.00426865921275644,3.36282382751734E-4
565.023,0.102752492235926,0.102505514095995,0.103062230929052,0.102742419226,0.101638699271013,0.100170121407992,0.101912622144346,0.102377870244313,0,0,4.65248099966661E-4,0,0.00663430491183956,4.65248099966661E-4,-0.00424970097349016,4.32368181366073E-4
565.035,0.102760092051252,0.102543040874206,0.103058229331477,0.102754377183219,0.101642497571969,0.100201768080843,0.101934346095508,0.102385655602147,0,0,4.51309506638312E-4,0,0.00665324809049272,4.51309506638312E-4,-0.00412784924961038,3.98667590586538E-4
565.047,0.102750492790543,0.102491760700635,0.103053552716708,0.102728436828655,0.101382172857326,0.100153693296277,0.10189966890454,0.102287034158841,0,0,3.87365254301095E-4,0,0.00650938332587642,3.87365254301095E-4,-0.00440175442862553,2.43412213602033E-4
565.059,0.102780046840152,0.102555860266342,0.103038425277091,0.102755206327679,0.101595281828072,0.100182630794542,0.101925638779325,0.102376844998634,0,0,4.51206219309178E-4,0,0.00661459791011151,4.51206219309178E-4,-0.00407019239457357,3.98779775749466E-4
565.071,0.102733828857135,0.102578613281914,0.103023334928319,0.102730627839446,0.101547642896802,0.100156502825763,0.101919483678665,0.102337366531128,0,0,4.1788285246247E-4,0,0.00655839821160228,4.1788285246247E-4,-0.00413099952469753,3.17958278109412E-4
565.083,0.102765847102281,0.102541872505669,0.10304255972961,0.102716708255943,0.101526216317757,0.100196984745748,0.101927138993676,0.102336257225327,0,0,4.09118231651032E-4,0,0.00655437809046946,4.09118231651032E-4,-0.00406496746305968,2.96834686325373E-4
